item,name,party,electorate
Q27950864,Michael Wood,Labour Party,Mt Roskill
Q6835440,Michael Woodhouse,National Party,List
Q99746505,Naisi Chen,Labour Party,List
Q3798833,Nanaia Mahuta,Labour Party,Hauraki-Waikato
Q99746551,Neru Leavasa,Labour Party,Takanini
Q99835328,Nicola Grigg,National Party,Selwyn
Q41424038,Nicola Willis,National Party,List
Q99771412,Nicole McKee,ACT Party,List
Q27825309,Paul Eagle,Labour Party,Rongotai
Q7150935,Paul Goldsmith,National Party,List
Q18098260,Peeni Henare,Labour Party,Tāmaki Makaurau
Q99835330,Penny Simmonds,National Party,Invercargill
Q7182502,Phil Twyford,Labour Party,Te Atatū
Q17016818,Poto Williams,Labour Party,Christchurch East
Q41498722,Priyanca Radhakrishnan,Labour Party,Maungakiekie
Q99746512,Rachel Boyack,Labour Party,Nelson
Q99746506,Rachel Brooking,Labour Party,List
Q99872114,Rawiri Waititi,Te Paati Māori,Waiariki
Q99767964,Ricardo Menéndez March,Green Party,List
Q3527980,Rino Tirikatene,Labour Party,Te Tai Tonga
Q99746516,Sarah Pallett,Labour Party,Ilam
Q7437262,Scott Simpson,National Party,Coromandel
Q99746550,Shanan Halbert,Labour Party,Northcote
Q18167135,Shane Reti,National Party,List
Q41672277,Simeon Brown,National Party,Pakuranga
Q6336063,Simon Bridges,National Party,Tauranga
Q99771416,Simon Court,ACT Party,List
Q7519453,Simon O'Connor,National Party,Tāmaki
Q99835332,Simon Watts,National Party,North Shore
Q99746511,Steph Lewis,Labour Party,Whanganui
Q7626890,Stuart Nash,Labour Party,Napier
Q18167648,Stuart Smith,National Party,Kaikōura
Q7680951,Tamati Coffey,Labour Party,List
Q58813130,Tangi Utikere,Labour Party,Palmerston North
Q99767963,Teanau Tuiono,Green Party,List
Q99746518,Terisa Ngobi,Labour Party,Ōtaki
Q41672227,Tim van de Molen,National Party,Waikato
Q16200287,Todd McClay,National Party,Rotorua
Q18098673,Todd Muller,National Party,Bay of Plenty
Q99771422,Toni Severin,ACT Party,List
Q81749869,Tracey McLellan,Labour Party,Banks Peninsula
Q7839303,Trevor Mallard,Labour Party,List
Q99746055,Vanushi Walters,Labour Party,Upper Harbour
Q8021596,Willie Jackson,Labour Party,List
Q41498738,Willow-Jean Prime,Labour Party,Northland
