name,wikidata,party,party_wikidata,constituency,constituency_wikidata
Ibrahim Omer,Q99746548,Labour,Q1048192,List,Q3798091
Duncan Webb,Q41498728,Labour,Q1048192,Christchurch Central,Q5109061
Anahila Kanongata'a-Suisuiki,Q40969839,Labour,Q1048192,List,Q3798091
Ginny Andersen,Q41498725,Labour,Q1048192,Hutt South,Q5950940
Rachel Brooking,Q99746506,Labour,Q1048192,List,Q3798091
Paul Eagle,Q27825309,Labour,Q1048192,Rongotai,Q7365666
Helen White,Q99746507,Labour,Q1048192,List,Q3798091
Barbara Edmonds,Q99746508,Labour,Q1048192,Mana,Q6746510
Angela Roberts,Q99746509,Labour,Q1048192,List,Q3798091
Shanan Halbert,Q99746550,Labour,Q1048192,Northcote,Q7057755
Neru Leavasa,Q99746551,Labour,Q1048192,Takanini,Q92051395
Tracey McLellan,Q81749869,Labour,Q1048192,Banks Peninsula,Q4856490
Steph Lewis,Q99746511,Labour,Q1048192,Whanganui,Q7990611
Rachel Boyack,Q99746512,Labour,Q1048192,Nelson,Q6990332
Arena Williams,Q94001454,Labour,Q1048192,Manurewa,Q6753178
Ingrid Leary,Q99746513,Labour,Q1048192,Taieri,Q7675929
Sarah Pallett,Q99746516,Labour,Q1048192,Ilam,Q5996966
Gaurav Sharma,Q99746553,Labour,Q1048192,Hamilton West,Q17050921
Emily Henderson,Q99746517,Labour,Q1048192,Whangārei,Q7990620
Terisa Ngobi,Q99746518,Labour,Q1048192,Ōtaki,Q8081748
Glen Bennett,Q99746558,Labour,Q1048192,New Plymouth,Q7010994
Lemauga Lydia Sosene,Q99746510,Labour,Q1048192,List,Q3798091
Greg O'Connor,Q28600237,Labour,Q1048192,Ohariu,Q8081484
Tangi Utikere,Q58813130,Labour,Q1048192,Palmerston North,Q7128320
Anna Lorck,Q99746526,Labour,Q1048192,Tukituki,Q7851846
Kris Faafoi,Q6437165,Labour,Q1048192,List,Q3798091
Louisa Wall,Q6688567,Labour,Q1048192,List,Q3798091
Marama Davidson,Q20983272,Green Party of Aotearoa New Zealand,Q1327761,List,Q3798091
James Shaw,Q18167139,Green Party of Aotearoa New Zealand,Q1327761,List,Q3798091
Chlöe Swarbrick,Q28137192,Green Party of Aotearoa New Zealand,Q1327761,Auckland Central,Q4819499
Julie Anne Genter,Q6308013,Green Party of Aotearoa New Zealand,Q1327761,List,Q3798091
Jan Logie,Q6149394,Green Party of Aotearoa New Zealand,Q1327761,List,Q3798091
Eugenie Sage,Q5408237,Green Party of Aotearoa New Zealand,Q1327761,List,Q3798091
Golriz Ghahraman,Q41689955,Green Party of Aotearoa New Zealand,Q1327761,List,Q3798091
Teanau Tuiono,Q99767963,Green Party of Aotearoa New Zealand,Q1327761,List,Q3798091
Elizabeth Kerekere,Q61782487,Green Party of Aotearoa New Zealand,Q1327761,List,Q3798091
Ricardo Menéndez March,Q99767964,Green Party of Aotearoa New Zealand,Q1327761,List,Q3798091
Christopher Luxon,Q74370310,National,Q204716,Botany,Q4948500
Nicola Willis,Q41424038,National,Q204716,List,Q3798091
Chris Bishop,Q18097593,National,Q204716,List,Q3798091
Shane Reti,Q18167135,National,Q204716,List,Q3798091
Paul Goldsmith,Q7150935,National,Q204716,List,Q3798091
Louise Upston,Q6688985,National,Q204716,Taupō,Q7688833
Erica Stanford,Q41672229,National,Q204716,East Coast Bays,Q5328103
Matt Doocey,Q18098080,National,Q204716,Waimakariri,Q7960087
Simeon Brown,Q41672277,National,Q204716,Pakuranga,Q7126081
Barbara Kuriger,Q18098422,National,Q204716,Taranaki-King Country,Q7685388
Scott Simpson,Q7437262,National,Q204716,Coromandel,Q5172096
Melissa Lee,Q6812766,National,Q204716,List,Q3798091
Mark Mitchell,Q6768911,National,Q204716,Whangaparāoa,Q92051182
Andrew Bayly,Q18097523,National,Q204716,Port Waikato,Q7231017
Gerry Brownlee,Q4352603,National,Q204716,List,Q3798091
Stuart Smith,Q18167648,National,Q204716,Kaikōura,Q6347843
Michael Woodhouse,Q6835440,National,Q204716,List,Q3798091
Judith Collins,Q6303349,National,Q204716,Papakura,Q7132410
David Bennett,Q5231315,National,Q204716,List,Q3798091
Jacqui Dean,Q6121023,National,Q204716,Waitaki,Q7960460
Todd McClay,Q16200287,National,Q204716,Rotorua,Q7370600
Simon O'Connor,Q7519453,National,Q204716,Tāmaki,Q7862516
Ian McKelvie,Q16732336,National,Q204716,Rangitīkei,Q7292867
Todd Muller,Q18098673,National,Q204716,Bay of Plenty,Q4874224
Maureen Pugh,Q17466674,National,Q204716,List,Q3798091
Harete Hipango,Q41675222,National,Q204716,List,Q3798091
Chris Penk,Q41672238,National,Q204716,Kaipara ki Mahurangi,Q92051229
Tim van de Molen,Q41672227,National,Q204716,Waikato,Q7959989
Nicola Grigg,Q99835328,National,Q204716,Selwyn,Q7448897
Joseph Mooney,Q99835329,National,Q204716,Southland,Q92051328
Penny Simmonds,Q99835330,National,Q204716,Invercargill,Q6060017
Simon Watts,Q99835332,National,Q204716,North Shore,Q7056657
Nick Smith,Q976339,National,Q204716,List,Q3798091
Simon Bridges,Q6336063,National,Q204716,Tauranga,Q16934070
David Seymour,Q17055796,ACT New Zealand,Q288838,Epsom,Q5383983
Brooke van Velden,Q99771411,ACT New Zealand,Q288838,List,Q3798091
Nicole McKee,Q99771412,ACT New Zealand,Q288838,List,Q3798091
Chris Baillie,Q99771415,ACT New Zealand,Q288838,List,Q3798091
Simon Court,Q99771416,ACT New Zealand,Q288838,List,Q3798091
James McDowall,Q99771417,ACT New Zealand,Q288838,List,Q3798091
Karen Chhour,Q99771420,ACT New Zealand,Q288838,List,Q3798091
Mark Cameron,Q99771421,ACT New Zealand,Q288838,List,Q3798091
Toni Severin,Q99771422,ACT New Zealand,Q288838,List,Q3798091
Damien Smith,Q104804167,ACT New Zealand,Q288838,List,Q3798091
Debbie Ngarewa-Packer,Q92131852,Māori Party,Q1375170,List,Q3798091
Rawiri Waititi,Q99872114,Māori Party,Q1375170,Waiariki,Q7959905
