name,wikidata,party,party_wikidata,constituency,constituency_wikidata
Jacinda Ardern,Q3606816,Labour,Q1048192,Mount Albert,Q14006001
Grant Robertson,Q1543207,Labour,Q1048192,Wellington Central,Q17067719
Kelvin Davis,Q6386648,Labour,Q1048192,Te Tai Tokerau,Q2398210
Megan Woods,Q6808764,Labour,Q1048192,Wigram,Q7999699
Chris Hipkins,Q5106890,Labour,Q1048192,Rimutaka,Q7334523
Carmel Sepuloni,Q5043325,Labour,Q1048192,Kelston,Q17052336
Andrew Little,Q3561087,Labour,Q1048192,List,Q3798091
David Parker,Q15196319,Labour,Q1048192,List,Q3798091
Nanaia Mahuta,Q3798833,Labour,Q1048192,Hauraki-Waikato,Q5682782
Poto Williams,Q17016818,Labour,Q1048192,Christchurch East,Q5109073
Damien O'Connor,Q5212493,Labour,Q1048192,West Coast-Tasman,Q7984755
Stuart Nash,Q7626890,Labour,Q1048192,Napier,Q16954969
Peeni Henare,Q18098260,Labour,Q1048192,Tāmaki Makaurau,Q2465243
Willie Jackson,Q8021596,Labour,Q1048192,List,Q3798091
Jan Tinetti,Q41498735,Labour,Q1048192,List,Q3798091
Michael Wood,Q27950864,Labour,Q1048192,Mount Roskill,Q6923295
Kiri Allan,Q41498745,Labour,Q1048192,East Coast,Q5328100
David Clark,Q3561074,Labour,Q1048192,Dunedin,Q96376733
Ayesha Verrall,Q91250224,Labour,Q1048192,List,Q3798091
Priyanca Radhakrishnan,Q41498722,Labour,Q1048192,Maungakiekie,Q6792557
William Sio,Q16208070,Labour,Q1048192,Mangere,Q6950610
Meka Whaitiri,Q13566358,Labour,Q1048192,Ikaroa-Rawhiti,Q5995391
Phil Twyford,Q7182502,Labour,Q1048192,Te Atatū,Q7690783
Kieran McAnulty,Q41498761,Labour,Q1048192,Wairarapa,Q7960306
Rino Tirikatene,Q3527980,Labour,Q1048192,Te Tai Tonga,Q7690987
Deborah Russell,Q41498732,Labour,Q1048192,New Lynn,Q7009958
Trevor Mallard,Q7839303,Labour,Q1048192,List,Q3798091
Adrian Rurawhe,Q18167636,Labour,Q1048192,Te Tai Hauauru,Q1725044
Jenny Salesa,Q18167638,Labour,Q1048192,Panmure-Ōtāhuhu,Q92051279
Vanushi Walters,Q99746055,Labour,Q1048192,Upper Harbour,Q17067595
Camilla Belich,Q99746504,Labour,Q1048192,List,Q3798091
Marja Lubeck,Q41498755,Labour,Q1048192,List,Q3798091
Angie Warren-Clark,Q42291428,Labour,Q1048192,List,Q3798091
Willow-Jean Prime,Q41498738,Labour,Q1048192,Northland,Q7059501
Tamati Coffey,Q7680951,Labour,Q1048192,List,Q3798091
Naisi Chen,Q99746505,Labour,Q1048192,List,Q3798091
Jo Luxton,Q41498748,Labour,Q1048192,Rangitata,Q7292856
Jamie Strange,Q41498758,Labour,Q1048192,Hamilton East,Q5644917
Liz Craig,Q41498753,Labour,Q1048192,List,Q3798091
